City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,kasane,-17.8167,25.15,29.05,24,20,3.09,BW,1683819234
347,sligo,54.2697,-8.4694,13.96,77,75,6.17,IE,1683819234
348,hammerfest,70.6634,23.6821,9.25,81,75,1.54,NO,1683818796
349,brisas de zicatela,15.8369,-97.0419,30.29,74,0,1.54,MX,1683818879
350,fort st. john,56.2499,-120.8529,10.94,66,75,2.06,CA,1683818817
351,barmer,25.75,71.3833,35.23,14,0,5.26,IN,1683819235
352,coos bay,43.3665,-124.2179,13.51,81,100,2.06,US,1683819235
353,ojai,34.4481,-119.2429,16.27,81,0,1.85,US,1683819235
354,pisco,-13.7,-76.2167,21.03,83,100,2.06,PE,1683818695
355,zell am see,47.3256,12.7944,8.89,39,100,0.27,AT,1683819236
356,rongelap,11.1635,166.8941,27.5,83,100,6.86,MH,1683819236
357,kayangel,8.0823,134.7173,28.91,71,93,1.32,PW,1683818871
358,zabaykal'sk,49.6333,117.3167,11.98,65,100,3.03,RU,1683819236
359,joetsu,37.1483,138.2364,7.84,83,0,2.62,JP,1683819237
360,ponta delgada,37.7333,-25.6667,18.4,82,75,8.23,PT,1683819152
